,accident_id,acc_date,type,operator,registration,total_fatalities,total_occupants,aircraft_damage,phase,nature,depart_airport,destination_airport,location
516,ACC616,1988-01-24,Yakovlev YAK-40,Aeroflot,CCCP-87549,27,31,Damaged beyond repair,Initial climb (ICL),Domestic Non Scheduled Passenger,"Nizhnevartovsk Airport (NJC/USNN), Russia","Tyumen Airport (TJM/USTR), Russia",near Nizhnevartovsk Airport (NJC) (Russia)
517,ACC617,1988-02-08,Swearingen SA227,Nürnberger Flugdienst - NFD,D-CABB,21,21,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Hannover Airport (HAJ/EDDV), Germany","Düsseldorf Airport (DUS/EDDL), Germany",2 km (1.3 mls) N of Kettwig (Germany)
518,ACC618,1988-02-27,Tupolev TU-134,Aeroflot,CCCP-65675,20,51,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Tyumen Airport (TJM/USTR), Russia","Surgut Airport (SGC/USRR), Russia",Surgut Airport (SGC) (Russia)
519,ACC619,1988-03-31,Douglas DC-8,Arax Airlines,5N-ARH,4,4,Damaged beyond repair,Takeoff (TOF),Cargo,"Cairo International Airport (CAI/HECA), Egypt","Sharjah Airport (SHJ/OMSJ), United Arab Emirates",Cairo International Airport (CAI) (Egypt)
520,ACC620,1988-04-12,Douglas DC-3,United Air,ZS-UAS,24,24,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Bloemfontein International Airport (BFN/FABL), South Africa","Johannesburg International Airport (JNB/FAJS), South Africa",near Hennenman (South Africa)
522,ACC622,1988-04-19,Let L-410,Aeroflot,CCCP-67518,17,17,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Muya Airport, Russia","Bagdarin Airport (UIUB), Russia",74 km (46.3 mls) NE of Bagdarin (Russia)
524,ACC624,1988-04-28,Boeing 737,Aloha Airlines,N73711,1,95,Substantial,En route (ENR),Domestic Scheduled Passenger,"Hilo International Airport, HI (ITO/PHTO), United States of America","Honolulu International Airport, HI (HNL/PHNL), United States of America","near Maui, HI (United States of America)"
525,ACC625,1988-05-06,de Havilland Canada DHC-7,Widerøes Flyveselskap,LN-WFN,36,36,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Namsos Airport (OSY/ENNM), Norway","Brønnøysund Airport (BNN/ENBN), Norway",8 km (5 mls) SW of Brønnøysund Airport (BNN) (Norway)
527,ACC627,1988-05-24,Learjet 35,Jetcorp,N500RW,4,4,Destroyed,En route (ENR),Ferry/positioning,"Teterboro Airport, NJ (TEB/KTEB), United States of America","Morristown Municipal Airport, NJ (MMU/KMMU), United States of America","West Paterson, NJ (United States of America)"
528,ACC628,1988-05-26,Fokker F-27,Star Air A/S,OY-APE,2,2,Damaged beyond repair,Approach (APR),Cargo,"Billund Airport (BLL/EKBI), Denmark","Hannover Airport (HAJ/EDDV), Germany",1 km (0.6 mls) W of Hannover Airport (HAJ) (Germany)
531,ACC631,1988-06-12,McDonnell Douglas DC-9,Austral Lineas Aéreas,N1003G,22,22,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Resistencia Airport, CH (RES/SARE), Argentina","Posadas Airport, MI (PSS/SARP), Argentina","3 km (1.9 mls) S of Posadas Airport, MI (PSS) (Argentina)"
532,ACC632,1988-06-16,Fokker F-27,Burma Airways,XY-ADQ,4,4,Damaged beyond repair,Approach (APR),Cargo,"Myitkyina Airport (MYT/VYMK), Myanmar","Putao Airport (PBU/VYPT), Myanmar","14,5 km (9.1 mls) NW of Putao Airport (PBU) (Myanmar)"
537,ACC637,1988-06-26,Airbus A320,Air France,F-GFKC,3,136,Destroyed,Initial climb (ICL),Demonstration,"Basel/Mulhouse Airport (BSL/LFSB), France","Basel/Mulhouse Airport (BSL/LFSB), France",Mulhouse-Habsheim Airport (France)
538,ACC638,1988-07-03,Airbus A300,Iran Air,EP-IBU,290,290,Destroyed,En route (ENR),International Scheduled Passenger,"Bandar Abbas Airport (BND/OIKB), Iran","Dubai Airport (DXB/OMDB), United Arab Emirates",4 km (2.5 mls) SE off Qeshm Island (Iran)
542,ACC642,1988-07-30,Learjet 23,Jet Management,N745F,2,2,Destroyed,Approach (APR),Ferry/positioning,"Tucson International Airport, AZ (TUS/KTUS), United States of America","Chino Airport, CA (CNO/KCNO), United States of America","near Riverside-March AFB, CA (RIV) (United States of America)"
543,ACC643,1988-08-02,CASA C-212,Geoterrex,C-GILU,3,3,Damaged beyond repair,Approach (APR),Ferry/positioning,"Narsarsuaq Airport (UAK/BGBW), Greenland","Reykjavík Domestic Airport (RKV/BIRK), Iceland",Reykjavík Domestic Airport (RKV) (Iceland)
544,ACC644,1988-08-17,Lockheed C-130,Pakistan Air Force,23494,30,30,Destroyed,Initial climb (ICL),Official state flight,"Bahawalpur Airport (BHV/OPBW), Pakistan","Islamabad International Airport (ISB/OPRN), Pakistan",7 km (4.4 mls) N of Bahawalpur Airport (BHV) (Pakistan)
545,ACC645,1988-08-26,Let L-410,Aeroflot,CCCP-67235,4,4,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,"Kirensk Airport (KCK/UIKK), Russia","Irkutsk Airport (IKT/UIII), Russia",21 km (13.1 mls) SE of Irkutsk Airport (IKT) (Russia)
546,ACC646,1988-08-26,Antonov AN-2,Aeroflot,CCCP-01788,1,4,Damaged beyond repair,En route (ENR),Survey/research,"Zhigansk Airport (UEKK), Russia","Zhigansk Airport (UEKK), Russia",near Kystatyam (Russia)
548,ACC648,1988-08-31,Boeing 727,Delta Air Lines,N473DA,14,108,Destroyed,Takeoff (TOF),Domestic Scheduled Passenger,"Dallas/Fort Worth International Airport, TX (DFW/KDFW), United States of America","Salt Lake City International Airport, UT (SLC/KSLC), United States of America","Dallas/Fort Worth International Airport, TX (DFW) (United States of America)"
549,ACC649,1988-08-31,Embraer EMB-110,Transporte Aéreo Federal,XC-COX,20,20,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Uruapan Airport (UPN/MMPN), Mexico","Lázaro Cárdenas Airport (LZC/MMLC), Mexico",ca 15 km from Arteaga (Mexico)
550,ACC650,1988-09-05,Britten-Norman BN-2,Wrangell Air Service,N111VA,1,10,Destroyed,En route (ENR),Domestic Non Scheduled Passenger,"Sitka Airport, AK (SIT/PASI), United States of America","Petersburg Municipal Airport, AK (PSG/PAPG), United States of America","near Sitka, AK (United States of America)"
551,ACC651,1988-09-11,Beechcraft 200,Snowy Butte Aviation,N1283,1,1,Damaged beyond repair,En route (ENR),Ferry/positioning,"Jackson Hole Airport, WY (JAC/KJAC), United States of America","Redding Airport, CA (RDD/KRDD), United States of America","Jackson, WY (United States of America)"
552,ACC652,1988-09-15,Boeing 737,Ethiopian Airlines,ET-AJA,35,104,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Bahar Dar Airport (BJR/HABD), Ethiopia","Asmara International Airport (ASM/HAAY), Eritrea",10 km (6.3 mls) SW of Bahar Dar Airport (BJR) (Ethiopia)
554,ACC654,1988-10-04,Antonov AN-12,Aeroflot,CCCP-11418,6,6,Damaged beyond repair,Approach (APR),Cargo,"Tiksi Airport (IKS/UEST), Russia","Batagay Airport (BQJ/UEBB), Russia",25 km (15.6 mls) NE of Batagay Airport (BQJ) (Russia)
555,ACC655,1988-10-07,Ilyushin IL-14,Shanxi Airlines,B-4218,44,48,Destroyed,Initial climb (ICL),Domestic Non Scheduled Passenger,"Linfen Air Base, China","Linfen Air Base, China",2 km (1.3 mls) N of Linfen Air Base (China)
556,ACC656,1988-11-01,Douglas DC-3,Air Ontario,C-FBJE,2,2,Destroyed,Approach (APR),Cargo,"Red Lake Airport, ON (YRL/CYRL), Canada","Pikangikum Airport, ON (YPM/CYPM), Canada","2,4 km (1.5 mls) W off Pikangikum Airport, ON (YPM) (Canada)"
558,ACC658,1988-11-29,Beechcraft A100,Voyageur Airways,C-GJUL,4,4,Damaged beyond repair,Approach (APR),Ambulance,"Timmins Airport, ON (YTS/CYTS), Canada","Chapleau Airport, ON (YLD/CYLD), Canada","2,4 km (1.5 mls) SW of Chapleau Airport, ON (YLD) (Canada)"
559,ACC659,1988-11-30,de Havilland Canada DHC-6,Aero Club Libya,5A-DDD,14,14,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,"Hamada al Hamra Airfield, Libya","Tripoli International Airport (TIP/HLLT), Libya",Hamada al Hamra (Libya)
560,ACC660,1988-12-13,Boeing 707,GAS Air Nigeria,5N-AYJ,8,8,Damaged beyond repair,En route (ENR),Cargo,"Dar es Salaam International Airport (DAR/HTDA), Tanzania","Cairo International Airport (CAI/HECA), Egypt",Karm `Umran (Egypt)
562,ACC662,1989-01-15,de Havilland Canada DHC-3,Temsco Helicopters,N11250,2,2,Destroyed,En route (ENR),Domestic Non Scheduled Passenger,"Ketchikan Harbor Seaplane Base, AK (WFB), United States of America","Klawock Airport, AK (KLW/PAKW), United States of America","near Ketchikan, AK (United States of America)"
564,ACC664,1989-02-24,Boeing 747,United Airlines,N4713U,9,355,Substantial,En route (ENR),International Scheduled Passenger,"Honolulu International Airport, HI (HNL/PHNL), United States of America","Auckland International Airport (AKL/NZAA), New Zealand",near Hawaii (Pacific Ocean)
565,ACC665,1989-03-10,Fokker F-28,Air Ontario,C-FONF,24,69,Destroyed,Initial climb (ICL),Domestic Scheduled Passenger,"Dryden Municipal Airport, ON (YHD/CYHD), Canada","Winnipeg International Airport, MB (YWG/CYWG), Canada","Dryden Municipal Airport, ON (YHD) (Canada)"
567,ACC667,1989-05-05,Britten-Norman BN-2,Aero Cozumel,XA-JPE,6,19,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Chichén Itzá Airport (CZA/MMCT), Mexico","Cozumel Airport (CZM/MMCZ), Mexico",3 km (1.9 mls) from Playa del Carmen Airport (PCM) (Mexico)
568,ACC668,1989-05-10,Beechcraft 200,Mesa Airlines,N39YV,1,1,Damaged beyond repair,En route (ENR),Ferry/positioning,"Santa Monica Airport, CA (SMO/KSMO), United States of America","Farmington Municipal Airport, NM (FMN/KFMN), United States of America","Azusa, CA (United States of America)"
571,ACC671,1989-05-26,IRMA/Britten-Norman BN-2,Aviatia Utilitara,YR-BNJ,4,4,Damaged beyond repair,En route (ENR),Training,"Boboc Air Base (LRBO), Romania","Boboc Air Base (LRBO), Romania",near Boboc Air Base (Romania)
574,ACC674,1989-06-11,de Havilland Canada DHC-6,Aerotaca Colombia - Aerotransportes Casanare,HK-2486,6,22,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"El Yopal Airport (EYP/SKYP), Colombia","Tame Airport (TME/SKTM), Colombia",Vereda el Salitre (Colombia)
575,ACC675,1989-06-18,Antonov AN-26,Ariana Afghan Airlines,YA-BAK,6,39,Damaged beyond repair,Landing (LDG),Domestic Scheduled Passenger,"Kabul Airport (KBL/OAKB), Afghanistan","Zaranj Airport (ZAJ/OAZJ), Afghanistan",Zabol Airport (ACZ) (Iran)
577,ACC677,1989-06-26,Douglas C-118,Conifair Aviation,C-GBYA,4,4,Destroyed,Maneuvering (MNV),Agricultural,"Bonaventure Airport, QC (YVB/CYVB), Canada","Bonaventure Airport, QC (YVB/CYVB), Canada","48 km (30 mls) SE of St. Anne-des-Monts, QC (Canada)"
578,ACC678,1989-06-28,Fokker F-27,Somali Airlines,6O-SAZ,30,30,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Hargeisa Airport (HGA/HCMH), Somalia","Mogadishu International Airport (MGQ/HCMM), Somalia",near Hargeisa (Somalia)
579,ACC679,1989-07-19,Antonov AN-26,Aeroflot,CCCP-26685,10,10,Damaged beyond repair,Maneuvering (MNV),Survey/research,"Mys Shmidta Airport (UHMI), Russia","Pevek Airport (PWE/UHMP), Russia",??Cape Kibera (Russia)
581,ACC681,1989-07-31,Convair CV-580,Air Freight NZ,ZK-FTB,3,3,Destroyed,Initial climb (ICL),Cargo,"Auckland International Airport (AKL/NZAA), New Zealand","Christchurch International Airport (CHC/NZCH), New Zealand",Auckland International Airport (AKL) (New Zealand)
582,ACC682,1989-08-03,Shorts 330,Olympic Aviation,SX-BGE,34,34,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Thessaloniki International Airport (SKG/LGTS), Greece","Samos Airport (SMI/LGSM), Greece",25 km (15.6 mls) WNW of Samos Airport (SMI) (Greece)
583,ACC683,1989-08-08,Britten-Norman BN-2,Aspiring Air,ZK-EVK,10,10,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Wanaka Airport (WKA/NZWF), New Zealand","Milford Sound Airport (MFN/NZMF), New Zealand",Upper Dart Valley (New Zealand)
586,ACC686,1989-08-25,Fokker F-27,Pakistan International Airlines - PIA,AP-BBF,54,54,Missing,En route (ENR),Domestic Scheduled Passenger,"Gilgit Airport (GIL/OPGT), Pakistan","Islamabad International Airport (ISB/OPRN), Pakistan",Himalaya Mountains (Pakistan)
589,ACC689,1989-09-15,Beechcraft 100,James Holmes,N887PE,6,6,Destroyed,Approach (APR),Executive,"Orlando Executive Airport, FL (ORL/KORL), United States of America","Mayfield Graves County Airport, KY, United States of America","1,7 km (1.1 mls) NNE of Mayfield Graves County Airport, KY (United States of America)"
590,ACC690,1989-09-26,Swearingen SA227,Skylink Airlines,C-GSLB,7,7,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Vancouver International Airport, BC (YVR/CYVR), Canada","Terrace Airport, BC (YXT/CYXT), Canada","Terrace Airport, BC (YXT) (Canada)"
591,ACC691,1989-10-02,Cessna 550,GTE South,N53CC,2,2,Destroyed,Approach (APR),Executive,"Tampa International Airport, FL (TPA/KTPA), United States of America","Roxboro/Person County Airport, NC (TDF), United States of America","4 km (2.5 mls) SW of Roxboro/Person County Airport, NC (TDF) (United States of America)"
593,ACC693,1989-10-06,Cessna 208,Westchester Air,N208W,5,5,Destroyed,Initial climb (ICL),Private,"Uncertain, TX, United States of America","Destin Airport, FL (DSI/KDTS), United States of America","Uncertain, TX (United States of America)"
595,ACC695,1989-10-20,Britten-Norman BN-2,Tapu Kadastro Genel Müdürlügü,TC-KUN,5,5,Damaged beyond repair,En route (ENR),"Aerial Work (Calibration, Photo)","Adana Airport (ADA/LTAF), Turkey","Adana Airport (ADA/LTAF), Turkey",Hatay (Turkey)
596,ACC696,1989-10-20,Ilyushin IL-76,Aeroflot,CCCP-76466,15,15,Damaged beyond repair,Approach (APR),Cargo,"Ulyanovsk/Baratayevka Airport (ULV/UWLL), Russia","Leninakan Airport (LWN/UDSG), Armenia",near Leninakan Airport (LWN) (Armenia)
598,ACC698,1989-10-28,de Havilland Canada DHC-6,Aloha IslandAir,N707PV,20,20,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Kahului Airport, HI (OGG/PHOG), United States of America","Molokai/Kaunakakai Airport, HI (MKK/PHMK), United States of America","near Hoolehua-Molokai Airport, HI (MKK) (United States of America)"
600,ACC700,1989-11-14,Cessna 551,Air Express A/S,LN-AAE,4,4,Destroyed,Approach (APR),Ambulance,"Tromsø/Langnes Airport (TOS/ENTC), Norway","Bardufoss Airport (BDU/ENDU), Norway",35 km (21.9 mls) ESE of Bardufoss Airport (BDU) (Norway)
601,ACC701,1989-11-21,Antonov AN-24,Aeroflot,CCCP-46335,32,40,Destroyed,Approach (APR),Domestic Non Scheduled Passenger,"Perm Airport (PEE/USPP), Russia","Sovetsky Airport (OVS/USHS), Russia","0,7 km (0.4 mls) SE of Sovetsky Airport (OVS) (Russia)"
603,ACC703,1989-11-24,Antonov AN-2,Aeroflot,CCCP-44953,1,12,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Dzhambul Airport (DMB/UADD), Kazakhstan","Zhezhazgan Airport (DZN/UAKD), Kazakhstan","7,6 km (4.8 mls) NW of Dzhambul Airport (DMB) (Kazakhstan)"
604,ACC704,1989-11-27,Lockheed L-100,Tepper Aviation Inc,N9205T,5,5,Damaged beyond repair,Approach (APR),Cargo,"Kamina Airport (KMN/FZSA), Congo (Democratic Republic)","Jamba Airport (JMB), Angola",near Jamba Airport (JMB) (Angola)
605,ACC705,1989-11-28,Britten-Norman BN-2,New England Airlines,N127JL,8,8,Destroyed,En route (ENR),Domestic Non Scheduled Passenger,"Block Island Airport, RI (BID/KBID), United States of America","Westerly State Airport, RI (WST/KWST), United States of America","6,5 km (4.1 mls) NW off Block Island, RI (United States of America)"
608,ACC708,1990-01-13,Tupolev TU-134,Aeroflot,CCCP-65951,27,71,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Tyumen Airport (TJM/USTR), Russia","Ufa Airport (UFA/UWUU), Russia",3 km (1.9 mls) E of Pervouralsk (Russia)
610,ACC710,1990-01-17,Cessna 208,Federal Express,N835FE,1,1,Destroyed,En route (ENR),Cargo,"Denver International Airport, CO (DEN/KDEN), United States of America","Montrose County Airport, CO (MTJ/KMTJ), United States of America","17 km (10.6 mls) SW of Leadville, CO (United States of America)"
611,ACC711,1990-01-29,Cessna 208,Airborne Express,N4688B,2,2,Destroyed,Initial climb (ICL),Cargo,"Burlington International Airport, VT (BTV/KBTV), United States of America","Albany Airport, NY (ALB/KALB), United States of America","1,6 km (1 mls) SE of Burlington International Airport, VT (BTV) (United States of America)"
621,ACC721,1990-04-26,Douglas DC-3,Manila Aero Transport System - MATS,RP-C81,7,24,Damaged beyond repair,Initial climb (ICL),Domestic Non Scheduled Passenger,"Manila International Airport (MNL/RPLL), Philippines","Roxas City Airport (RXS/RPVR), Philippines",near Manila International Airport (MNL) (Philippines)
624,ACC724,1990-04-30,Beechcraft C99,Frontier Airlines,C-GFAW,1,4,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Timmins Airport, ON (YTS/CYTS), Canada","Moosonee Airport, ON (YMO/CYMO), Canada","11 km (6.9 mls) ENE of Moosonee Airport, ON (YMO) (Canada)"
625,ACC725,1990-05-11,Cessna 500,Airnorth,VH-ANQ,11,11,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Prosperine Airport, QLD (PPP/YBPN), Australia","Mareeba Airport, QLD (MRG/YMBA), Australia","15 km (9.4 mls) S of Mareeba, QLD (Australia)"
626,ACC726,1990-05-18,Beechcraft 1900,Aerolift Philippines,RP-C314,21,21,Destroyed,Initial climb (ICL),Domestic Scheduled Passenger,"Manila International Airport (MNL/RPLL), Philippines","Surigao Airport (SUG/RPMS), Philippines",1 km (0.6 mls) S of Manila International Airport (MNL) (Philippines)
634,ACC734,1990-06-21,de Havilland Canada DHC-6,Ptarmigan Airways,C-FWAB,2,2,Damaged beyond repair,Takeoff (TOF),Cargo,"Thistle Lake, NT, Canada","Yellowknife Airport, NT (YZF/CYZF), Canada","Thistle Lake, NT (Canada)"
637,ACC737,1990-08-13,Rockwell 1121,Aviex Jet,N301AJ,1,8,Damaged beyond repair,Approach (APR),Private,"Kingston Airport (KIN/MKJP), Jamaica","Cozumel Airport (CZM/MMCZ), Mexico","0,5 km (0.3 mls) SE of Cozumel Airport (CZM) (Mexico)"
640,ACC740,1990-09-11,Morane Saulnier MS-760,Stonewall Transport,N23ST,2,2,Destroyed,En route (ENR),Private,"Albuquerque International Airport, NM (ABQ/KABQ), United States of America","Las Cruces Municipal Airport, NM (LRU/KLRU), United States of America","near Albuquerque, NM (United States of America)"
641,ACC741,1990-09-11,Boeing 727,Faucett Perú,OB-1303,16,16,Missing,En route (ENR),Ferry/positioning,"Keflavík International Airport (KEF/BIKF), Iceland","Gander Airport, NL (YQX/CYQX), Canada","290 km (181.3 mls) SE off Newfoundland, Canada (Atlantic Ocean)"
646,ACC746,1991-02-01,Fairchild SA227,SkyWest Airlines,N683AV,12,12,Destroyed,Takeoff (TOF),Domestic Scheduled Passenger,"Los Angeles International Airport, CA (LAX/KLAX), United States of America","Palmdale Airport, CA (PMD/KPMD), United States of America","Los Angeles International Airport, CA (LAX) (United States of America)"
648,ACC748,1991-02-08,Cessna 208,Provincial Express,C-FPEZ,1,1,Destroyed,En route (ENR),Cargo,"Nain Airport, NL (YDP/CYDP), Canada","Goose Bay Airport, NL (YYR/CYYR), Canada","137 km (85.6 mls) N of Goose Bay, NL (Canada)"
649,ACC749,1991-02-14,de Havilland Canada DHC-6,Fuerza Aérea Ecuatoriana,FAE447,22,22,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Macas Airport (XMS/SEMC), Ecuador","Taisha Airport (TSC/SETH), Ecuador",34 km (21.3 mls) W of Taisha (Ecuador)
651,ACC751,1991-03-18,Learjet 25,Air Conesul Táxi Aéreo,PT-LLL,4,4,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,"Uberaba Airport, MG (UBA/SBUR), Brazil","Brasília International Airport, DF (BSB/SBBR), Brazil","8 km (5 mls) from Brasília International Airport, DF (BSB) (Brazil)"
653,ACC753,1991-04-04,Douglas DC-3,Central Mountain Air Services,C-FQNF,6,7,Damaged beyond repair,En route (ENR),Passenger,"Sturdee Airport, BC (YTC), Canada","Smithers Airport, BC (YYD/CYYD), Canada","Thutade Lake, BC (Canada)"
