Unnamed: 0,acc. date,type,operator,fat.,location,dmg,country,state,city,LAT,LNG
4442,21 Oct 1989,Boeing 727-224,TAN Honduras - Transportes AÃ©reos Nacionales,131,9 km S of Tegucigalpa-Toncontin Airport (TGU),dst,US,,,38.89037,-77.03196
4446,26 Oct 1989,Boeing 737-209,China Airlines,54,"5,5 km N of Hualien Airport (HUN)",w/o,US,,,38.89037,-77.03196
4465,27 Nov 1989,Boeing 727-21,Avianca,107,16 km SW of BogotÃ¡-Eldorado Airport (BOG),dst,CO,,"Bogota, D.C.",4.57992,-74.07333
4519,25 Jan 1990,Boeing 707-321B,Avianca,73,"Cove Neck, NY",dst,US,NY,Cove Neck,40.87979,-73.50446
4533,14 Feb 1990,Airbus A320-231,Indian Airlines,92,"0,7 km W of Bangalore-Hindustan Airport (BLR)",dst,IN,KA,Bengaluru,12.955,77.66328
4643,10 Aug 1990,Antonov An-12,Democratic Republic of Afghanistan Air Force - DRAAF,83,near Shindand,dst,US,DC,Washington,38.90335,-77.00055
4684,2 Oct 1990,Boeing 757-21B,China Southern Airlines,128,Guangzhou-Baiyun Airport (CAN),w/o,US,,,38.89037,-77.03196
4685,2 Oct 1990,Boeing 737-247,Xiamen Airlines,128,Guangzhou-Baiyun Airport (CAN),dst,US,,,38.89037,-77.03196
4768,5 Feb 1991,Lockheed C-130H Hercules,Elleniki PolemikÃ­ AeroporÃ­a,63,24 km WSW of Volos-NÃ©a Anchialos Airport (VOL),dst,US,,,38.89037,-77.03196
4819,21 Mar 1991,Lockheed C-130H Hercules,Royal Saudi Air Force - RSAF,98,near Rash Mishab,w/o,US,,,38.89037,-77.03196
4854,26 May 1991,Boeing 767-3Z9ER,Lauda Air,223,"5,6 km NNE of Phu Toey",dst,US,,,38.89037,-77.03196
4886,11 Jul 1991,McDonnell Douglas DC-8-61,Nigeria Airways,261,"2,8 km S of Jeddah-King Abdulaziz International Airport (JED)",dst,SA,,Jeddah,21.66114,39.17457
4897,16 Aug 1991,Boeing 737-2A8 Advanced,Indian Airlines,69,38 km SW of Imphal Municipal Airport (IMF),dst,US,,,38.89037,-77.03196
4939,5 Oct 1991,Lockheed C-130H-30 Hercules,Tentara Nasional Indonesia-AU (Air Force),135,3 km S of Jakarta-Halim Perdana Kusuma Airport (HLP),dst,ID,,Jakarta,-6.26697,106.88213
4955,7 Nov 1991,Yakovlev Yak-40,Yugavia,51,23 km WNW of Makhachkala Airport (MCX),dst,US,,,38.89037,-77.03196
5012,20 Jan 1992,Airbus A320-111,Air Inter,87,"19,5 km SW of Strasbourg-Entzheim Airport (SXB)",dst,FR,GES,Entzheim,48.53162,7.63241
5081,16 Apr 1992,de Havilland Canada DHC-5D Buffalo,Kenya Air Force - KAF,52,"ca 1,7 km SW of Nairobi-Moi Air Base",w/o,KE,,Nairobi,-1.25874,36.85578
5126,14 Jul 1992,Antonov An-12,Yemen Air Force,58,100 km E of Sana'a,w/o,YE,,Sana'a,15.3667,44.21122
5133,24 Jul 1992,Vickers 816 Viscount,Mandala Airlines,70,ca 15 km W of Ambon-Pattimura Airport (AMQ),dst,ID,,Ambon,-3.70492,128.08891
5142,31 Jul 1992,Yakovlev Yak-42D,China General Aviation Corp.,107,Nanking Airport (NKG),dst,US,,,38.89037,-77.03196
5143,31 Jul 1992,Airbus A310-304,Thai Airways International,113,40 km N of Kathmandu-Tribhuvan Airport (KTM),dst,NP,BA,Kathmandu,27.68018,85.29802
5167,27 Aug 1992,Tupolev Tu-134A,"Aeroflot, Central Region Civil Aviation Directorate",84,3 km SE of Ivanovo Airport (IWA),dst,US,,,38.89037,-77.03196
5195,26 Sep 1992,Lockheed C-130H Hercules,Nigerian Air Force - NAF,159,ca 7 km SSW of Lagos-Murtala Muhammed International Airport (LOS),dst,NG,LA,Lagos,6.57793,3.32147
5197,28 Sep 1992,Airbus A300B4-203,Pakistan International Airlines - PIA,167,18 km S of Kathmandu-Tribhuvan Airport (KTM),dst,NP,BA,Gothatar,27.70781,85.36881
5234,24 Nov 1992,Boeing 737-3Y0,China Southern Airlines,141,20 km S of Guilin Airport (KWL),dst,ZA,GT,Ekurhuleni,-26.23789,28.15843
5260,21 Dec 1992,McDonnell Douglas DC-10-30CF,Martinair Holland,56,Faro Airport (FAO),w/o,PT,,Faro,37.02609,-7.92584
5261,22 Dec 1992,Boeing 727-2L5,Libyan Arab Airlines,157,9 km E of Tripoli International Airport (TIP),dst,LY,,Tripoli,32.90581,13.27338
5292,8 Feb 1993,Tupolev Tu-154M,Iran Airtour,133,15 km from Tehran-Mehrabad Airport (THR),dst,US,,,38.89037,-77.03196
5308,5 Mar 1993,Fokker 100,Palair Macedonian Airlines,83,Skopje Airport (SKP),dst,MK,,Skopje,41.99144,21.44563
5346,26 Apr 1993,Boeing 737-2A8,Indian Airlines,55,3 km NE of Aurangabad Airport (IXU),w/o,IN,MH,Chhatrapati Sambhaji Nagar,19.87021,75.34488
5350,27 Apr 1993,Antonov An-32,Democratic Republic of Afghanistan Air Force - DRAAF,76,Tashqurghan,dst,AF,,Afghanistan,36.69241,67.69411
5361,19 May 1993,Boeing 727-46,SAM Colombia,132,60 km NW of MedellÃ­n,dst,US,,,38.89037,-77.03196
5405,23 Jul 1993,British Aerospace BAe-146-300,China Northwest Airlines,56,Yinchuan Airport (INC),w/o,US,,,38.89037,-77.03196
5408,26 Jul 1993,Boeing 737-5L9,Asiana Airlines,68,"7,5 km SW of Mokpo Airport (MPK)",dst,US,,,38.89037,-77.03196
5432,28 Aug 1993,Yakovlev Yak-40,Tajikistan Airlines,82,near Khorog,dst,TJ,,Tajikistan,37.48855,71.55694
